Subject: 1_1
Session: 1
Group: 1
Time: 9.976430177688599
# Consecuences: 0
Distance: 0.0cm
Velocity: 0.0cm/seg
Mean Aceleration: 0.0m/seg

Frame;Time;X;Y;Aceleration;Distance;Consecuences
0;0.0;0.0;0.0;nan;0.0;0
1;0.038;0.0;0.0;0.0;0.0;0
2;0.085;0.0;0.0;0.0;0.0;0
3;0.133;0.0;0.0;0.0;0.0;0
4;0.18;0.0;0.0;0.0;0.0;0
5;0.225;0.0;0.0;0.0;0.0;0
6;0.273;0.0;0.0;0.0;0.0;0
7;0.319;0.0;0.0;0.0;0.0;0
8;0.367;0.0;0.0;0.0;0.0;0
9;0.413;0.0;0.0;0.0;0.0;0
10;0.461;0.0;0.0;0.0;0.0;0
11;0.508;0.0;0.0;0.0;0.0;0
12;0.555;0.0;0.0;0.0;0.0;0
13;0.601;0.0;0.0;0.0;0.0;0
14;0.647;0.0;0.0;0.0;0.0;0
15;0.695;0.0;0.0;0.0;0.0;0
16;0.741;0.0;0.0;0.0;0.0;0
17;0.788;0.0;0.0;0.0;0.0;0
18;0.835;0.0;0.0;0.0;0.0;0
19;0.883;0.0;0.0;0.0;0.0;0
20;0.93;0.0;0.0;0.0;0.0;0
21;0.977;0.0;0.0;0.0;0.0;0
22;1.024;0.0;0.0;0.0;0.0;0
23;1.07;0.0;0.0;0.0;0.0;0
24;1.116;0.0;0.0;0.0;0.0;0
25;1.164;0.0;0.0;0.0;0.0;0
26;1.209;0.0;0.0;0.0;0.0;0
27;1.256;0.0;0.0;0.0;0.0;0
28;1.303;0.0;0.0;0.0;0.0;0
29;1.351;0.0;0.0;0.0;0.0;0
30;1.398;0.0;0.0;0.0;0.0;0
31;1.444;0.0;0.0;0.0;0.0;0
32;1.492;0.0;0.0;0.0;0.0;0
33;1.538;0.0;0.0;0.0;0.0;0
34;1.585;0.0;0.0;0.0;0.0;0
35;1.632;0.0;0.0;0.0;0.0;0
36;1.678;0.0;0.0;0.0;0.0;0
37;1.726;0.0;0.0;0.0;0.0;0
38;1.773;0.0;0.0;0.0;0.0;0
39;1.819;0.0;0.0;0.0;0.0;0
40;1.867;0.0;0.0;0.0;0.0;0
41;1.914;0.0;0.0;0.0;0.0;0
42;1.96;0.0;0.0;0.0;0.0;0
43;2.006;0.0;0.0;0.0;0.0;0
44;2.053;0.0;0.0;0.0;0.0;0
45;2.101;0.0;0.0;0.0;0.0;0
46;2.148;0.0;0.0;0.0;0.0;0
47;2.194;0.0;0.0;0.0;0.0;0
48;2.242;0.0;0.0;0.0;0.0;0
49;2.289;0.0;0.0;0.0;0.0;0
50;2.336;0.0;0.0;0.0;0.0;0
51;2.383;0.0;0.0;0.0;0.0;0
52;2.428;0.0;0.0;0.0;0.0;0
53;2.476;0.0;0.0;0.0;0.0;0
54;2.523;0.0;0.0;0.0;0.0;0
55;2.569;0.0;0.0;0.0;0.0;0
56;2.616;0.0;0.0;0.0;0.0;0
57;2.664;0.0;0.0;0.0;0.0;0
58;2.711;0.0;0.0;0.0;0.0;0
59;2.758;0.0;0.0;0.0;0.0;0
60;2.804;0.0;0.0;0.0;0.0;0
61;2.851;0.0;0.0;0.0;0.0;0
62;2.898;0.0;0.0;0.0;0.0;0
63;2.944;0.0;0.0;0.0;0.0;0
64;2.991;0.0;0.0;0.0;0.0;0
65;3.038;0.0;0.0;0.0;0.0;0
66;3.084;0.0;0.0;0.0;0.0;0
67;3.148;0.0;0.0;0.0;0.0;0
68;3.195;0.0;0.0;0.0;0.0;0
69;3.242;0.0;0.0;0.0;0.0;0
70;3.288;0.0;0.0;0.0;0.0;0
71;3.335;0.0;0.0;0.0;0.0;0
72;3.381;0.0;0.0;0.0;0.0;0
73;3.428;0.0;0.0;0.0;0.0;0
74;3.476;0.0;0.0;0.0;0.0;0
75;3.523;0.0;0.0;0.0;0.0;0
76;3.569;0.0;0.0;0.0;0.0;0
77;3.616;0.0;0.0;0.0;0.0;0
78;3.663;0.0;0.0;0.0;0.0;0
79;3.711;0.0;0.0;0.0;0.0;0
80;3.757;0.0;0.0;0.0;0.0;0
81;3.805;0.0;0.0;0.0;0.0;0
82;3.851;0.0;0.0;0.0;0.0;0
83;3.897;0.0;0.0;0.0;0.0;0
84;3.961;0.0;0.0;0.0;0.0;0
85;4.007;0.0;0.0;0.0;0.0;0
86;4.054;0.0;0.0;0.0;0.0;0
87;4.102;0.0;0.0;0.0;0.0;0
88;4.148;0.0;0.0;0.0;0.0;0
89;4.194;0.0;0.0;0.0;0.0;0
90;4.241;0.0;0.0;0.0;0.0;0
91;4.288;0.0;0.0;0.0;0.0;0
92;4.336;0.0;0.0;0.0;0.0;0
93;4.383;0.0;0.0;0.0;0.0;0
94;4.429;0.0;0.0;0.0;0.0;0
95;4.475;0.0;0.0;0.0;0.0;0
96;4.523;0.0;0.0;0.0;0.0;0
97;4.57;0.0;0.0;0.0;0.0;0
98;4.617;0.0;0.0;0.0;0.0;0
99;4.663;0.0;0.0;0.0;0.0;0
100;4.71;0.0;0.0;0.0;0.0;0
101;4.757;0.0;0.0;0.0;0.0;0
102;4.803;0.0;0.0;0.0;0.0;0
103;4.851;0.0;0.0;0.0;0.0;0
104;4.897;0.0;0.0;0.0;0.0;0
105;4.945;0.0;0.0;0.0;0.0;0
106;4.991;0.0;0.0;0.0;0.0;0
107;5.038;0.0;0.0;0.0;0.0;0
108;5.085;0.0;0.0;0.0;0.0;0
109;5.132;0.0;0.0;0.0;0.0;0
110;5.18;0.0;0.0;0.0;0.0;0
111;5.226;0.0;0.0;0.0;0.0;0
112;5.273;0.0;0.0;0.0;0.0;0
113;5.32;0.0;0.0;0.0;0.0;0
114;5.366;0.0;0.0;0.0;0.0;0
115;5.412;0.0;0.0;0.0;0.0;0
116;5.459;0.0;0.0;0.0;0.0;0
117;5.506;0.0;0.0;0.0;0.0;0
118;5.553;0.0;0.0;0.0;0.0;0
119;5.6;0.0;0.0;0.0;0.0;0
120;5.647;0.0;0.0;0.0;0.0;0
121;5.695;0.0;0.0;0.0;0.0;0
122;5.741;0.0;0.0;0.0;0.0;0
123;5.789;0.0;0.0;0.0;0.0;0
124;5.834;0.0;0.0;0.0;0.0;0
125;5.882;0.0;0.0;0.0;0.0;0
126;5.929;0.0;0.0;0.0;0.0;0
127;5.977;0.0;0.0;0.0;0.0;0
128;6.022;0.0;0.0;0.0;0.0;0
129;6.07;0.0;0.0;0.0;0.0;0
130;6.116;0.0;0.0;0.0;0.0;0
131;6.179;0.0;0.0;0.0;0.0;0
132;6.227;0.0;0.0;0.0;0.0;0
133;6.273;0.0;0.0;0.0;0.0;0
134;6.32;0.0;0.0;0.0;0.0;0
135;6.366;0.0;0.0;0.0;0.0;0
136;6.414;0.0;0.0;0.0;0.0;0
137;6.46;0.0;0.0;0.0;0.0;0
138;6.508;0.0;0.0;0.0;0.0;0
139;6.554;0.0;0.0;0.0;0.0;0
140;6.601;0.0;0.0;0.0;0.0;0
141;6.647;0.0;0.0;0.0;0.0;0
142;6.694;0.0;0.0;0.0;0.0;0
